GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-mvn-pitest,ch.paulfrischknecht,Main,10,0,0,0,3,0,2,0,2,0
java-mvn-pitest,ch.paulfrischknecht,Palindrome,38,0,6,0,7,0,5,0,2,0
